model,samples,positives,threshold,precision,recall,f1,pr_auc,roc_auc,brier_score,false_positive_rate,false_negative_rate,confusion_matrix,total_cost,cost_per_transaction,review_count,review_rate,false_flags,approved_fraud,reviewed_fraud,expected_review_misses,review_threshold,flag_threshold
logistic_regression,6000,136,0.55,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.55,0.55
logistic_regression,6000,136,0.56,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.56,0.56
logistic_regression,6000,136,0.5700000000000001,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.5700000000000001,0.5700000000000001
logistic_regression,6000,136,0.58,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.58,0.58
logistic_regression,6000,136,0.59,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.59,0.59
logistic_regression,6000,136,0.6,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.6,0.6
logistic_regression,6000,136,0.61,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.61,0.61
logistic_regression,6000,136,0.62,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.62,0.62
logistic_regression,6000,136,0.63,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.63,0.63
logistic_regression,6000,136,0.64,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.64,0.64
logistic_regression,6000,136,0.65,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.65,0.65
logistic_regression,6000,136,0.66,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.66,0.66
logistic_regression,6000,136,0.67,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.67,0.67
logistic_regression,6000,136,0.68,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.68,0.68
logistic_regression,6000,136,0.6900000000000001,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.6900000000000001,0.6900000000000001
logistic_regression,6000,136,0.7000000000000001,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.7000000000000001,0.7000000000000001
logistic_regression,6000,136,0.71,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.71,0.71
logistic_regression,6000,136,0.72,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.72,0.72
logistic_regression,6000,136,0.73,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.73,0.73
logistic_regression,6000,136,0.74,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.74,0.74
logistic_regression,6000,136,0.75,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.75,0.75
logistic_regression,6000,136,0.76,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.76,0.76
logistic_regression,6000,136,0.77,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.77,0.77
logistic_regression,6000,136,0.78,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.78,0.78
logistic_regression,6000,136,0.79,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.79,0.79
logistic_regression,6000,136,0.8,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.8,0.8
logistic_regression,6000,136,0.81,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.81,0.81
logistic_regression,6000,136,0.8200000000000001,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.8200000000000001,0.8200000000000001
logistic_regression,6000,136,0.8300000000000001,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.8300000000000001,0.8300000000000001
logistic_regression,6000,136,0.84,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.84,0.84
logistic_regression,6000,136,0.85,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.85,0.85
logistic_regression,6000,136,0.86,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.86,0.86
logistic_regression,6000,136,0.87,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.87,0.87
logistic_regression,6000,136,0.88,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.88,0.88
logistic_regression,6000,136,0.89,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.89,0.89
logistic_regression,6000,136,0.9,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.9,0.9
logistic_regression,6000,136,0.91,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.91,0.91
logistic_regression,6000,136,0.92,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.92,0.92
logistic_regression,6000,136,0.93,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.93,0.93
logistic_regression,6000,136,0.9400000000000001,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.9400000000000001,0.9400000000000001
logistic_regression,6000,136,0.9500000000000001,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.9500000000000001,0.9500000000000001
logistic_regression,6000,136,0.96,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.96,0.96
logistic_regression,6000,136,0.97,0.0,0.0,0.0,0.08987881401625455,0.6827664814220368,0.022557710408699194,0.00017053206002728513,1.0,"[[5863, 1], [136, 0]]",68010.0,11.335,0,0.0,1,136,0,0.0,0.97,0.97
